Company,Facility,ReceiptID,Customer,Title,Supplier,LPNo,Reference,PO,DevannedDate,Item,ItemGrade,ItemType,ItemQty,ItemUOM,PalletType,PalletQty,ItemVOL,VolumeUOM,ItemWGT,WeightUOM,ItemAREA,AreaUOM
LT,VB,RN-1,EFIKEE0001,EFIKEE0001,EFIKEE0001,,,,2017-11-09 14:10:59,1017788,,,1,EA,,0,0,cubic footage,0,POUND,0,square footage
LT,VB,RN-1,EFIKEE0001,EFIKEE0001,EFIKEE0001,,,,2017-11-09 14:10:59,1017788,,,1,EA,,0,0,cubic footage,0,POUND,0,square footage
LT,VB,RN-1,EFIKEE0001,EFIKEE0001,EFIKEE0001,,,,2017-11-09 14:10:59,1017788,,,1,EA,,0,0,cubic footage,0,POUND,0,square footage
LT,VB,RN-1,EFIKEE0001,EFIKEE0001,EFIKEE0001,,,,2017-11-09 14:10:59,1017788,,,1,EA,,0,0,cubic footage,0,POUND,0,square footage
LT,VB,RN-1,EFIKEE0001,EFIKEE0001,EFIKEE0001,,,,2017-11-09 14:10:59,1017788,,,1,EA,,0,0,cubic footage,0,POUND,0,square footage
LT,VB,RN-1,EFIKEE0001,EFIKEE0001,EFIKEE0001,,,,2017-11-09 14:10:59,1017788,,,1,EA,,0,0,cubic footage,0,POUND,0,square footage
LT,VB,RN-1,EFIKEE0001,EFIKEE0001,EFIKEE0001,,,,2017-11-09 14:10:59,1017787,,,1,EA,,0,0,cubic footage,0,POUND,0,square footage
LT,VB,RN-1,EFIKEE0001,EFIKEE0001,EFIKEE0001,,,,2017-11-09 14:10:59,1017787,,,1,EA,,0,0,cubic footage,0,POUND,0,square footage
LT,VB,RN-1,EFIKEE0001,EFIKEE0001,EFIKEE0001,,,,2017-11-09 14:10:59,1017787,,,1,EA,,0,0,cubic footage,0,POUND,0,square footage
LT,VB,RN-1,EFIKEE0001,EFIKEE0001,EFIKEE0001,,,,2017-11-09 14:10:59,1017787,,,1,EA,,0,0,cubic footage,0,POUND,0,square footage
LT,VB,RN-1,EFIKEE0001,EFIKEE0001,EFIKEE0001,,,,2017-11-09 14:10:59,1017787,,,1,EA,,0,0,cubic footage,0,POUND,0,square footage
LT,VB,RN-1,EFIKEE0001,EFIKEE0001,EFIKEE0001,,,,2017-11-09 14:10:59,1017785,,,1,EA,,0,0,cubic footage,0,POUND,0,square footage
LT,VB,RN-1,EFIKEE0001,EFIKEE0001,EFIKEE0001,,,,2017-11-09 14:10:59,1017785,,,1,EA,,0,0,cubic footage,0,POUND,0,square footage
LT,VB,RN-1,EFIKEE0001,EFIKEE0001,EFIKEE0001,,,,2017-11-09 14:10:59,1017787,,,1,EA,,0,0,cubic footage,0,POUND,0,square footage
LT,VB,RN-1,EFIKEE0001,EFIKEE0001,EFIKEE0001,,,,2017-11-09 14:10:59,1017785,,,1,EA,,0,0,cubic footage,0,POUND,0,square footage
LT,VB,RN-1,EFIKEE0001,EFIKEE0001,EFIKEE0001,,,,2017-11-09 14:10:59,1017785,,,1,EA,,0,0,cubic footage,0,POUND,0,square footage
LT,VB,RN-1,EFIKEE0001,EFIKEE0001,EFIKEE0001,,,,2017-11-09 14:10:59,1017785,,,1,EA,,0,0,cubic footage,0,POUND,0,square footage
LT,VB,RN-1,EFIKEE0001,EFIKEE0001,EFIKEE0001,,,,2017-11-09 14:10:59,1017785,,,1,EA,,0,0,cubic footage,0,POUND,0,square footage
LT,VB,RN-22,EFIKEE0001,EFIKEE0001,EFIKEE0001,,4232528M01,4232528M01,2017-11-21 09:47:48,1018079,,,6,EA,,0,0,cubic footage,0,POUND,0,square footage
LT,VB,RN-22,EFIKEE0001,EFIKEE0001,EFIKEE0001,,4232528M01,4232528M01,2017-11-21 09:47:48,1018079,,,6,EA,,0,0,cubic footage,0,POUND,0,square footage
LT,VB,RN-22,EFIKEE0001,EFIKEE0001,EFIKEE0001,,4232528M01,4232528M01,2017-11-21 09:47:48,1018079,,,6,EA,,0,0,cubic footage,0,POUND,0,square footage
LT,VB,RN-22,EFIKEE0001,EFIKEE0001,EFIKEE0001,,4232528M01,4232528M01,2017-11-21 09:47:48,1018079,,,6,EA,,0,0,cubic footage,0,POUND,0,square footage
LT,VB,RN-22,EFIKEE0001,EFIKEE0001,EFIKEE0001,,4232528M01,4232528M01,2017-11-21 09:47:48,1018079,,,6,EA,,0,0,cubic footage,0,POUND,0,square footage
LT,VB,RN-22,EFIKEE0001,EFIKEE0001,EFIKEE0001,,4232528M01,4232528M01,2017-11-21 09:47:48,1018079,,,6,EA,,0,0,cubic footage,0,POUND,0,square footage
LT,VB,RN-22,EFIKEE0001,EFIKEE0001,EFIKEE0001,,4232528M01,4232528M01,2017-11-21 09:47:48,1018079,,,6,EA,,0,0,cubic footage,0,POUND,0,square footage
LT,VB,RN-22,EFIKEE0001,EFIKEE0001,EFIKEE0001,,4232528M01,4232528M01,2017-11-21 09:47:48,1018079,,,6,EA,,0,0,cubic footage,0,POUND,0,square footage
